strategy_id,family,kill_switch_status,reasons,usable_as,evidence
down_streak_exhaustion,Down Streak Exhaustion,failed,Top 10% of realized days drove more than 40% of total positive PnL on the 5-year user-subset tournament.; The exact confirmation report still classifies the strategy as fragile and notes a failed regime slice plus weak subset-specific benchmark robustness.,promotion_ineligible,underlying_trade_ledger concentration stats; confirmation_report.md
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,failed,"Top 10% of daily PnL observations in the adverse baseline contributed more than 40% of positive PnL.; Concentration and modeled-versus-realized slippage gaps remain unresolved, so promotion is not justified yet.",paper_only,baseline_quote_trade_aware.json; paper_promotion best_summary.md
durable_crsi_family,Durable cRSI Family,passed,"No explicit kill-switch trigger was reproduced locally, but the family remains overnight-dependent and sample-thin for promotion.",watchlist_only,durable cRSI shortlist summaries
momentum_relative_strength_family,Momentum / Relative-Strength Family,failed,The strongest raw rows conflict with the decision-grade summary and still rely on concentrated winners such as NVDA.; The 5-year user-subset tournament also shows top-day concentration above the hard kill-switch threshold.,research_only,research_report_phase5.md; underlying_trade_ledger concentration stats
rsi_pullback_z_score_pullback_gap_reversion_family,RSI Pullback / Z-Score Pullback / Gap Reversion Family,failed,"The reproduced user-subset variants still show top-day concentration above the hard 40% threshold.; Gap reversion remains weaker than the family label suggests, and there is no clean deployment packet overturning that weakness.",research_only,underlying_trade_ledger concentration stats; phase1 / phase5 reports
breakout_trend_continuation_family,Breakout / Trend-Continuation Family,failed,"User-subset breakout variants exceed the top-day concentration threshold.; The newer raw-table strength still conflicts with the older corrected breakout audit, so the evidence stack is not clean enough.",research_only,underlying_trade_ledger concentration stats; older breakout audit
pullback_in_trend_family,Pullback in Trend Family,failed,Max drawdown in the 5-year user-subset tournament is extreme at roughly 74.55%.; The strongest rows remain concentration-heavy and rely on unstable raw-table upside.,research_only,underlying_tournament_metrics.csv; search_results_phase5_final.csv
turn_of_month_trend_family,Turn of Month Trend Family,failed,Top-day concentration exceeds the hard threshold and total edge is too small to survive the stricter screen.,research_only,underlying_trade_ledger concentration stats
stacked_ensemble_family,Stacked Ensemble Family,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
older_corrected_mean_reversion_baseline,Older Corrected Mean Reversion Baseline,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
older_corrected_day_of_week_vol_regime_breakout_baseline_cluster,Older Corrected Day-of-Week / Vol-Regime / Breakout Baseline Cluster,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
options_vertical_spread_wrappers,Options Vertical-Spread Wrappers,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
tradingview_reference_ideation_scripts_cluster,TradingView Reference / Ideation Scripts Cluster,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
tv_pvt_top5_finalists_tsla_30m,tv_pvt_top5_finalists :: tsla_30m,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
index_opening_drive_lab_fb_or15_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR15_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
tv_pvt_top5_finalists_nvda_30m,tv_pvt_top5_finalists :: nvda_30m,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
tv_pvt_top5_finalists_vix_vxx_30m,tv_pvt_top5_finalists :: vix_vxx_30m,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
