strategy_name,canonical_name,source_name,source_title,source_url,source_type,collection_method,is_live_fetched,strategy_family,classification,is_options_buying_strategy,dedupe_key,source_notes
Long Call,long call,Cboe,Strategy-based Margin,https://www.cboe.com/us/options/strategy_based_margin,benchmark_page,manual_article_mapping,false,single_leg,pure_long_premium,true,long_call,Accessible Cboe reference page used primarily for long-option margin treatment notes.
Long Put,long put,Cboe,Strategy-based Margin,https://www.cboe.com/us/options/strategy_based_margin,benchmark_page,manual_article_mapping,false,single_leg,pure_long_premium,true,long_put,Accessible Cboe reference page used primarily for long-option margin treatment notes.
Bear Put Spread,bear put spread,Fidelity,Bear Put Spread,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/bear-put-spread,strategy_page,manual_public_reference,false,vertical,net_debit_spread,true,bear_put_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Bull Call Spread,bull call spread,Fidelity,Bull Call Spread,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/bull-call-spread,strategy_page,manual_public_reference,false,vertical,net_debit_spread,true,bull_call_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Collar,collar,Fidelity,Collar,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/collar,strategy_page,manual_public_reference,false,collar,hybrid_or_protective,true,collar,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Double Diagonal Spread,double diagonal spread,Fidelity,Double Diagonal Spread,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/double-diagonal-spread,strategy_page,manual_public_reference,false,diagonal,net_debit_spread,true,double_diagonal_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Butterfly Spread with Calls,long butterfly,Fidelity,Long Butterfly Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-butterfly-spread-calls,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_butterfly,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Butterfly Spread with Puts,long butterfly,Fidelity,Long Butterfly Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-butterfly-spread-puts,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_butterfly,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Calendar Spread with Calls,long calendar spread,Fidelity,Long Calendar Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-calendar-spread-calls,strategy_page,manual_public_reference,false,calendar,net_debit_spread,true,long_calendar_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Calendar Spread with Puts,long calendar spread,Fidelity,Long Calendar Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-calendar-spread-puts,strategy_page,manual_public_reference,false,calendar,net_debit_spread,true,long_calendar_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
