strategy_id,family,translation_status,resolved_trades,unresolved_trades,final_equity,total_return_pct,max_drawdown_pct,Sharpe,profit_factor,win_rate,notes
down_streak_exhaustion,Down Streak Exhaustion,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
durable_crsi_family,Durable cRSI Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
momentum_relative_strength_family,Momentum / Relative-Strength Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
rsi_pullback_z_score_pullback_gap_reversion_family,RSI Pullback / Z-Score Pullback / Gap Reversion Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
breakout_trend_continuation_family,Breakout / Trend-Continuation Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
pullback_in_trend_family,Pullback in Trend Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
turn_of_month_trend_family,Turn of Month Trend Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
stacked_ensemble_family,Stacked Ensemble Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
older_corrected_mean_reversion_baseline,Older Corrected Mean Reversion Baseline,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
older_corrected_day_of_week_vol_regime_breakout_baseline_cluster,Older Corrected Day-of-Week / Vol-Regime / Breakout Baseline Cluster,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
options_vertical_spread_wrappers,Options Vertical-Spread Wrappers,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tradingview_reference_ideation_scripts_cluster,TradingView Reference / Ideation Scripts Cluster,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tv_pvt_top5_finalists_tsla_30m,tv_pvt_top5_finalists :: tsla_30m,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
index_opening_drive_lab_fb_or15_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR15_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tv_pvt_top5_finalists_nvda_30m,tv_pvt_top5_finalists :: nvda_30m,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tv_pvt_top5_finalists_vix_vxx_30m,tv_pvt_top5_finalists :: vix_vxx_30m,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
index_opening_drive_lab_fb_or5_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR5_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tv_pvt_top5_finalists_vix_vxx_60m,tv_pvt_top5_finalists :: vix_vxx_60m,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tv_pvt_top5_finalists_iwm_15m,tv_pvt_top5_finalists :: iwm_15m,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
codex_leveraged_pipeline_out_base_20260103_122420,codex_leveraged_pipeline :: out_base_20260103_122420,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
tv_squeeze_top5_finalists_tsla_30m,tv_squeeze_top5_finalists :: TSLA_30m,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
