strategy_name,canonical_name,aliases,source_name,source_title,source_url,source_type,strategy_family,classification,net_premium_type,directional_bias,volatility_bias,time_decay_bias,legs_summary,uses_calls,uses_puts,uses_stock,min_legs,max_legs,defined_risk,defined_reward,typical_outlook,entry_debit_or_credit,max_profit_summary,max_loss_summary,breakeven_summary,exercise_assignment_risk,american_assignment_relevant,common_use_case,complexity_level,margin_notes,notes,dedupe_key,is_options_buying_strategy,include_reason,exclude_reason
Bear Call Spread (Credit Call Spread),bear call spread,Credit Call Spread,OIC,Bear Call Spread (Credit Call Spread),https://www.optionseducation.org/strategies/all-strategies/bear-call-spread-credit-call-spread,strategy_page,vertical,exclude,credit,bearish,unknown,unknown,"A bear call spread is a limited-risk, limited-reward strategy, consisting of one short call option and one long call option. This strategy generally profits if the stock price holds steady or declines. The most it can generate is the net premium received at the outset. If the forecast is wrong and the stock rallies instead, the losses grow only until the long call caps the amount.",true,false,true,2.0,2.0,true,true,"Looking for a decline in the underlying stock's price during the life of the options. As with any limited-time strategy, the investor's long-term forecast for the underlying stock isn't as important, but this is probably not a suitable choice for those who have a bearish outlook past the immediate future. It would take an accurately timed forecast to pinpoint the turning point where a coming short-term rally would turn into a bearish long term.",credit,"The maximum gain is limited. The best that can happen at expiration is for the stock to be below both strike prices. In that case, both the short and long call options expire worthless, and the investor pockets the credit received when putting on the position.","The maximum loss is limited. The worst that can happen at expiration is for the stock price to be above the higher strike. In that case, the investor will be assigned on the short call, now deep-in-the-money, and will exercise the long call. The simultaneous exercise and assignment will mean selling the stock at the lower strike and buying the stock at the higher strike. The maximum loss is the difference between the two strikes, but it is reduced by the net credit received at the outset.","This strategy breaks even at expiration if the stock price is above the lower strike by the amount of the initial credit received. In that case the long call would expire worthless, and the short call's intrinsic value would equal the net credit. Breakeven = short call strike + net credit received","Yes. Early assignment, while possible at any time, generally occurs when the stock goes ex-dividend.",false,"The chance to earn income with limited risk, and/or profit from a decline in the underlying stock's price.",intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,bear_call_spread,false,,Primarily premium-selling or net-credit structure.
Bull Put Spread (Credit Put Spread),bull put spread,Credit Put Spread,OIC,Bull Put Spread (Credit Put Spread),https://www.optionseducation.org/strategies/all-strategies/bull-put-spread-credit-put-spread,strategy_page,vertical,exclude,credit,bullish,unknown,unknown,"A bull put spread is a limited-risk, limited-reward strategy, consisting of a short put option and a long put option with a lower strike. This spread generally profits if the stock price holds steady or rises.",false,true,true,2.0,2.0,true,true,"Looking for a rise in the underlying stock's price during the options' term.​ While the longer-term outlook is secondary, there is an argument for considering another alternative if the investor is bullish on the stock's future. It would take careful pinpointing to forecast when an expected decline would end and the eventual rally would start.​",credit,"The maximum gain is limited. The best that can happen is for the stock to be above the higher strike price at expiration. In that case, both put options expire worthless, and the investor pockets the credit received when putting on the position.","The maximum loss is limited. The worst that can happen is for the stock price to be below the lower strike at expiration. In that case, the investor will be assigned on the short put, now deep-in-the-money, and will exercise their long put. The simultaneous exercise and assignment will mean buying the stock at the higher strike and selling it at the lower strike. The maximum loss is the difference between the strikes, less the credit received when putting on the position.","This strategy breaks even if, at expiration, the stock price is below the upper strike (short put strike) by the amount of the initial credit received. In that case, the long put would expire worthless, and the short put's intrinsic value would equal the net credit. Breakeven = short put strike - net credit received",,false,"Investors initiate this spread either as a way to earn income with limited risk, or to profit from a rise in the underlying stock's price, or both.",intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,bull_put_spread,false,,Primarily premium-selling or net-credit structure.
Cash-Backed Call (Cash-Secured Call),cash-backed call,Cash-Secured Call,OIC,Cash-Backed Call (Cash-Secured Call),https://www.optionseducation.org/strategies/all-strategies/cash-backed-call-cash-secured-call,strategy_page,single_leg,exclude,variable,bullish,long_vol,negative_theta,This strategy allows an investor to purchase stock at the lower of strike price or market price during the life of the option.,true,false,true,2.0,2.0,true,false,"Looking for a sharp move in underlying stock, either up or down, during life of option. The longer-term outlook for stock is bullish.",variable,The maximum gain from the option is unlimited since there is no upper bound on the price of the underlying stock.,"The maximum loss from the option itself would be the premium paid. Since this strategy is designed to acquire stock, the ultimate gain or loss depends on the longer-term performance of the stock. From this perspective, the option expiring worthless would be a positive event since it would allow the investor to purchase stock at an even lower price.","Breakeven at expiration can be defined here in two ways. The standard definition for an option breakeven is the point where the benefits of exercising the option are equal to the premium paid: Breakeven = strike price + premium. But to really understand this strategy, it should be compared to the alternative of simply buying the stock today. If the stock moves higher, the investor using the cash-backed call strategy is worse off by a fixed amount: the premium paid, plus (minus) the original out-of-the-money (in-the-money) amount. But if the stock drops by more than the premium amount, the investor will be better off for having delayed the purchase, i.e., the downside 'breakeven' point could be seen as: Breakeven = starting stock price – premium",None. It is presumed that the investor will want to exercise the option if it's in-the-money.,false,Acquire stock. This is a classic option strategy whereby an investor locks in a future purchase price without giving up the ability to purchase the stock at a lower price should the market decline during the life of the option.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source. Flagged for manual review instead of being silently dropped.,cash_backed_call,false,,"Bought-call acquire-stock variant, but its primary use case is stock acquisition rather than premium-buying exposure."
Cash-Secured Put,cash-secured put,,OIC,Cash-Secured Put,https://www.optionseducation.org/strategies/all-strategies/cash-secured-put,strategy_page,single_leg,exclude,unknown,unknown,unknown,positive_theta,"The cash-secured put involves writing a put option and simultaneously setting aside the cash to buy the stock if assigned. If things go as hoped, it allows an investor to buy the stock at a price below its current market value. The investor must be prepared for the possibility that the put won't be assigned. In that case, the investor simply keeps the premium received for selling the put option.",false,true,true,2.0,2.0,true,true,"Looking for a short-term dip in stock price, followed by a longer-term appreciation.",unknown,"The maximum gain from the put option itself is limited. However, the optimal outcome is not readily apparent in the expiration profit/loss payoff diagram, because it does not address developments after expiration. The best scenario would be for the stock to dip slightly below the strike price at the put option's expiration, trigger assignment and then rally immediately afterwards to record heights. The put assignment would have allowed our investor to buy the stock at the strike price just in time to participate in the following rally. From a strictly short-term perspective, the maximum possible gain occurs if the stock stays above the strike, causing the put option to expire worthless. The investor would keep the T-Bill cash originally set aside in case of assignment and simply pocket the premium from the sale of the option. While that is a benign outcome, it obviously doesn't reflect the fact that the investor would rather be participating in the stock's upward movement.","The maximum loss is limited but substantial. The worst that can happen is for the stock to become worthless. In that case, the investor would be obligated to buy stock at the strike price. The loss would be reduced by the premium received for selling the put option. Notice, however, that the maximum loss is lower than would have occurred, had the investor simply purchased the stock outright rather than via selling a put option.","Since the object of this strategy is to acquire stock, the investor would break even if it is possible to sell the stock at the same effective price they paid for it. Breakeven = strike price – premium","Slight. Since the goal of this strategy is to acquire stock, assignment is not a problem.",false,"This is primarily a stock acquisition strategy for a price-sensitive investor. Unlike a naked put writer whose only goal is to collect premium income, a cash-secured put writer actually wants to acquire the underlying stock via assignment. The strike price, less the premium received, represents a desirable purchase price. However, the put assignment is not guaranteed. Should the stock price remain above the strike during the life of the option, the investor will miss out on the stock purchase. The consolation would be pocketing the premium received for the put. If the investor is intent on acquiring the stock and is less concerned about price, there are other strategy choices worth considering.",intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,cash_secured_put,false,,Primarily premium-selling or income-oriented rather than an options-buying strategy.
Covered Call (Buy/Write),covered call,Buy/Write,OIC,Covered Call (Buy/Write),https://www.optionseducation.org/strategies/all-strategies/covered-call-buy-write,strategy_page,single_leg,exclude,variable,bullish,unknown,unknown,"This strategy consists of writing a call that is covered by an equivalent long stock position. It provides a small hedge on the stock and allows an investor to earn premium income, in return for temporarily forfeiting much of the stock's upside potential.",true,false,true,2.0,2.0,true,true,The covered call writer is looking for a steady or slightly rising stock price for at least the term of the option. This strategy not appropriate for a very bearish or a very bullish investor.,variable,"The maximum gains on the strategy are limited. The total net gains depend in part on the call's intrinsic value when sold and on prior unrealized stock gains or losses. The maximum gains at expiration are limited by the strike price. If the stock is at the strike price, the covered call strategy itself reaches its peak profitability, and would not do better no matter how much higher the stock price might be. The strategy's net profit would be the premium received, plus any stock gains (or minus stock losses) as measured against the strike price. That maximum is very desirable to investors who were happy to liquidate at the strike price, whereas it could seem suboptimal to investors who were assigned but would rather still be holding the stock and participating in future gains. The prime motive determines whether the investor would consider post-assignment stock gains as irrelevant or as a lost economic opportunity.","The maximum loss is limited but substantial. The worst that can happen is for the stock to become worthless. In that case, the investor will have lost the entire value of the stock. However, that loss will be reduced somewhat by the premium income from selling the call option. It is also worth noting that the risk of losing the stock's entire value is inherent in any form of stock ownership. In fact, the premium received leaves the covered call writer slightly better off than other stock owners.","Whether this strategy results in a profit or loss is largely determined by the purchase price of the stock, which may have occurred well in the past at a different price. Assume the stock and option positions were acquired simultaneously. If at expiration the position is still open and the investor wants to sell the stock, the strategy loses money only if the stock price has fallen by more than the amount of the call premium. Break even = starting stock price – premium received",Assignment simply allows the investor to liquidate the stock at the pre-set price and put the cash to work somewhere else.,true,"The primary motive is to earn premium income, which has the effect of boosting overall returns on the stock and providing a measure of downside protection. The best candidates for covered calls are the stock owners who are perfectly willing to sell the shares if the stock rises and the calls are assigned. Stock owners that would be reluctant to part with the shares, especially mid-rally, are not usually candidates for this strategy. Covered calls require close monitoring and a readiness to take quick action if assignment is to be avoided during a sharp rally; even then, there are no guarantees.",intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,covered_call,false,,Primarily premium-selling or income-oriented rather than an options-buying strategy.
Covered Put,covered put,,OIC,Covered Put,https://www.optionseducation.org/strategies/all-strategies/covered-put,strategy_page,single_leg,exclude,variable,bullish,short_vol,positive_theta,"This strategy is used to arbitrage a put that is overvalued because of its early-exercise feature. The investor simultaneously sells an in-the-money put near its intrinsic value, sells the stock and then invests the proceeds in an instrument earning the overnight interest rate. When the option is exercised, the position liquidates at breakeven, but the investor keeps the interest earned. Net Position (at expiration) Example Short 100 shares XYZ stock Short 1 XYZ 60 put MAXIMUM GAIN Short sale price - strike price + premium received (interest) MAXIMUM LOSS Unlimited",false,true,true,2.0,2.0,false,true,"Looking for a steady to slightly falling stock price during the life of the option. A neutral longer-term outlook isn't necessarily incompatible with this strategy, but a bullish long-term outlook is incompatible.",variable,"Since the put is deep in-the-money, the maximum gain is limited to interest on initial cash received plus any time value in the option when sold. The best that can happen is for the stock price to remain well below the strike price, which means the option will be exercised before it expires and the position will liquidate. The profit/loss from the stock is the sale price less the purchase price, i.e., where the stock was sold short minus the strike price of the option. Add to that the premium received for selling the option and any interest earned. Keep in mind that a put's intrinsic value is equal to the strike price minus the current stock price. So if the option was sold for its intrinsic value with regard to where the stock was sold short, exercise of the option results in zero profit/loss (excluding any interest earned).","The maximum loss is unlimited. The worst that can happen at expiration is that the stock price rises sharply above the put strike price. At that point, the put option drops out of the equation and the investor is left with a short stock position in a rising market. Since there is no absolute limit to how high the stock can rise, the potential loss is also unlimited. An important detail to note: as the stock rises, the strategy actually begins to incur losses when the Delta of the option starts declining (in absolute terms).","The investor breaks even if the option is sold for intrinsic value and assignment occurs immediately. In that case, the option ceases to exist and the short stock position will also be closed out. Should the investor be assigned the same day, cash received from the short sales would be paid out right away, so there would be no time to earn any interest. The assigned stock will be transferred directly to cover the short. Breakeven = price stock shorted at + premium received","Since assignment liquidates the investor's position, early exercise simply means that no further interest is earned from the strategy.",true,Earn interest income on zero initial outlay.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,covered_put,false,,"Documented options strategy, but not treated here as a core buying strategy because stock-acquisition or income mechanics dominate."
Covered Ratio Spread,covered ratio spread,,OIC,Covered Ratio Spread,https://www.optionseducation.org/strategies/all-strategies/covered-ratio-spread,strategy_page,backspread,exclude,variable,unknown,short_vol,positive_theta,"This strategy profits if the underlying stock moves up to, but not above, the strike price of the short calls. Beyond that, the profit erodes and then hits a plateau.",true,false,true,3.0,3.0,false,false,Looking for a slight rise in the stock price.,variable,"The maximum gain would occur should the underlying stock be at the strike price of the short calls. In that case, all the options would expire worthless, and the investor could pocket the premium received for initiating the option strategy in addition to the profit from the stock's appreciation.","The maximum loss would occur should the stock become worthless. In that case, the investor would have lost the entire value of their stock. That loss, however, would be reduced by the premium received from initiating the option strategy.",This strategy breaks even if at expiration the underlying stock has fallen by the amount of premium received for initiating the strategy.,,true,Earn additional income while holding a long stock position. This is a classic option strategy for lowering the breakeven level of a long stock position that is underwater. Net Position (at expiration),advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,covered_ratio_spread,false,,"Documented options strategy, but not treated here as a core buying strategy because stock-acquisition or income mechanics dominate."
Covered Strangle (Covered Combination),covered strangle,Covered Combination,OIC,Covered Strangle (Covered Combination),https://www.optionseducation.org/strategies/all-strategies/covered-strangle-covered-combination,strategy_page,strangle,exclude,variable,unknown,short_vol,unknown,"This strategy is appropriate for a stock considered to be fairly valued. The investor has a long stock position and is willing to sell the stock if it goes higher or buy more of the stock if it goes lower. Net Position (at expiration) Example Long 100 shares XYZ stock Short 1 XYZ 65 call Short 1 XYZ 55 put Long $5,500 T-Bill (cash that covers potential put assignment) MAXIMUM GAIN Call strike - stock purchase price + net premium received MAXIMUM LOSS Stock purchase price + put strike - net premium received (substantial)",true,true,true,2.0,2.0,false,false,Looking for underlying stock to trade in a narrow range during the life of options.,variable,"The maximum gain would occur if the stock were above the call strike price at expiration. In that case the investor would be assigned on the call and sell their stock at the call strike price, consequently closing out their position. In addition to the profit from buying and selling the stock, the investor would pocket the premium received from selling both options.","The maximum loss would occur should the stock become worthless. In that case, the investor would have lost the entire value of their stock; half purchased initially when putting on the strategy and half as a result of assignment on their put option. The loss would be reduced by the premium received for selling the options. The risk is only on the downside, since a move by the stock above the call strike results in assignment and consequently liquidation of the position at a profit.","The concept of breakeven for this strategy is somewhat nebulous, since if the investor is assigned on their short put the profit/loss will fluctuate for as long as the stock is held. Technically speaking, the strategy breaks even if the stock price at expiration is below the original stock price by the amount of premium received for selling the options (or below the average of the initial stock price and the put strike price if the put was exercised). Notice again, however, that if the original stock was purchased at a significantly lower price than the put strike (quite possible if the purchase took place long ago) this breakeven may lack any relevance.",Slight. This strategy is explicitly based on the investor being willing and able to take the assignment on either option.,true,Profit from a sideways to slightly-higher appreciation in the underlying. This is a classic option strategy for an investor who wants to increase their holding in the underlying stock should the market decline or decrease their holding should the market rise.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,covered_strangle,false,,"Documented options strategy, but not treated here as a core buying strategy because stock-acquisition or income mechanics dominate."
"Bear Spread Spread (Double Bear Spread, Combination Bear Spread)",double bear spread,Double Bear Spread; Combination Bear Spread,OIC,"Bear Spread Spread (Double Bear Spread, Combination Bear Spread)",https://www.optionseducation.org/strategies/all-strategies/bear-spread-spread-double-bear-spread-combination,strategy_page,other,exclude,unknown,bearish,unknown,unknown,"This strategy is the combination of a bear call spread and a bear put spread. A key part of the strategy is to initiate the position at even money, so the cost of the put spread should be offset by the proceeds from the call spread.",true,true,false,,,true,false,Looking for falling stock price.,unknown,"The maximum gain would occur should the underlying stock be below the lower put strike at expiration. In that case both puts would be in-the-money, and the gain would be the difference between the put strike prices, plus or minus any premium received or paid from initiating the position.","The maximum loss would occur should the underlying stock be above the upper call strike at expiration. In that case both calls would be in-the-money, and the loss would be the difference between the call strike prices, plus or minus any premium paid or received from initiating the position.","If this strategy is initiated at even money, then breakeven is anywhere that all the options expire worthless, or between the lower call strike and upper put strike. If a premium was paid or received, then breakeven would occur where the underlying stock at expiration is above the lower call strike price by the premium received or below the upper put by premium paid.",,false,Profit from a declining stock price. Net Position (at expiration) Example Long 1 XYZ 70 call Short 1 XYZ 65 call Long 1 XYZ 55 put Short 1 XYZ 50 put MAXIMUM GAIN High put strike - low put strike - net premium paid MAXIMUM LOSS High call strike - low call strike - net premium paid,intermediate,Margin treatment depends on the short-option or stock components of the structure.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,double_bear_spread,false,,Not classified as an options buying strategy under the conservative inclusion rules used for this catalog.
Double Bull Spread,double bull spread,,OIC,Double Bull Spread,https://www.optionseducation.org/strategies/all-strategies/double-bull-spread,strategy_page,other,exclude,unknown,bullish,unknown,unknown,"This strategy is the combination of a bull call spread and a bull put spread . A key part of the strategy is to initiate the position at even money, so the cost of the call spread should be offset by the proceeds from the put spread.",true,true,false,,,true,false,Looking for rising stock price.,unknown,"The maximum gain would occur should the underlying stock be above the upper call strike at expiration. In that scenario, both calls would be in-the-money, and the gain would be the difference between the call strike prices plus or minus any premium received or paid from initiating the position.","The maximum loss would occur should the underlying stock be below the lower put strike at expiration. In that case, both puts would be in-the-money, and the loss would be the difference between the put strike prices plus or minus any premium paid or received from initiating the position.","If this strategy is initiated at even money, then breakeven is anywhere that all the options expire worthless, i.e., between the lower call strike and upper put strike. If a premium was paid or received, then breakeven would occur where the underlying stock at expiration is above the lower call strike price by the premium paid or below the upper put by the premium paid.",,false,Profit from a rising stock price.,intermediate,Margin treatment depends on the short-option or stock components of the structure.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,double_bull_spread,false,,Not classified as an options buying strategy under the conservative inclusion rules used for this catalog.
