canonical_strategy_id,registry_type,family_name,aliases,source_files,source_repo_folder,source_provenance,asset_universe,timeframe,directionality,execution_assumptions,exact_known_parameters,reconstruction_status,evidence_quality,prior_audited_metrics,major_risks,eligible_for_underlying_tournament,eligible_for_options_single_leg_translation,eligible_for_multi_leg_translation
down_streak_exhaustion,canonical_family,Down Streak Exhaustion,"down_streak_exhaustion; nearby variants with holding_bars 4 to 6, rsi_cap 25 to 35, streak_length 3 to 5",best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/confirmation_report.md; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/decision_table_phase5.csv,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,74-symbol explicit liquid stock and ETF universe,Daily,long_only,Fixed 5-bar hold in the confirmed finalist; no profit target,"Long-only exhaustion entry inside an uptrend; require uptrend_regime true, down_streak >= threshold, and RSI(5) <= cap",exact,high,"Test ending equity 125394.19; total return 25.41%; CAGR 20.50%; win rate 55.93%; expectancy 0.72% per trade; profit factor 1.6426; Sharpe 1.4177; Sortino 2.0604; max drawdown 6.05%; 354 trades; beat SPY, equal_weight_full, and equal_weight_etf","Uneven subset robustness, uneven regime robustness, explicit current-list universe still has survivorship limitations, execution realism on daily entries remains open",yes,partial,no
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,canonical_family,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,"TQQQ/SQQQ pair ORB; pair opening-range champion; nearby flat_before_close, opening_window, threshold_bps, notional, and start_delay variants",best_strategies_consolidated.txt; nasdaq-etf-intraday-alpaca/best_summary.md; nasdaq-etf-intraday-alpaca/artifacts/finalist_validation/20260403_222107/best_summary.md; nasdaq-etf-intraday-alpaca/artifacts/paper_promotion/20260404_133736/best_summary.md; nasdaq-etf-intraday-alpaca/docs/paper_runbook.md; nasdaq-etf-intraday-alpaca/src/app/strategy.py; nasdaq-etf-intraday-alpaca/src/app/regime.py,C:\Users\rabisaab\Downloads\nasdaq-etf-intraday-alpaca,master_memo,QQQ leader; TQQQ for bull regime; SQQQ for bear regime,1-minute execution; validated finalists use 10-minute opening range and 15-minute decision intervals,long_short,"Stop, take profit, trailing stop, time stop, regime invalidation, and forced flat before the close","Regime classification from QQQ EMA alignment, EMA slopes, VWAP relation, opening-range relation, relative volume, spread, and quote freshness; enter TQQQ on bullish opening-range breakout or SQQQ on bearish breakdown when threshold, VWAP, EMA, and RVOL filters pass",exact,high,Paper-promotion baseline adverse validate/test net PnL 922.21 / 1441.14; combined expectancy 16.06; adverse max drawdown 9.23%; median daily test PnL 61.08; best day / best month share 38.93% / 66.16%; finalist-validation best adverse validate/test 1066.18 / 2140.93 with best adverse max drawdown 9.25%,"Concentration is still too high, modeled versus realized slippage gap remains unresolved, no live promotion approval, Saturday 2026-04-04 paper window was closed so no same-day shadow session ran",yes,partial,partial
durable_crsi_family,canonical_family,Durable cRSI Family,"durable cRSI frozen presets; durable shortlist; FCX 60m, GE 60m, RKLB 30m, BE 60m; watchlist presets in CAT, HOOD, XBI, XLY",best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/strategy_zoo/crsi_durable_shortlist_summary.md; alpaca-stock-strategy-research/reports/strategy_zoo/crsi_execution_stress_summary.md; alpaca-stock-strategy-research/reports/strategy_zoo/durable_crsi_ops/durable_registry.csv; alpaca-stock-strategy-research/reports/strategy_zoo/durable_crsi_ops/durable_crsi_promotion_blockers.md,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,"BE, FCX, GE, RKLB durable set; CAT, HOOD, XBI, XLY watchlist set",30-minute and 60-minute,mixed,Preset-specific stop-loss or take-profit overlays; flat-at-close was explicitly not part of the durable survivors,"Symbol-specific cRSI preset triggers frozen by domcycle, leveling, and trend_window configuration; all surviving durable presets retain overnight holding",exact,high,"Durable shortlist winners were FCX 60m test equity 1114.29 at 10 bps, GE 60m test equity 1120.51 at 10 bps with max drawdown 4.30%, RKLB 30m test equity 1188.89 at 15 bps with 82.61% win rate and 23 trades, and BE 60m test equity 1121.09 at 15 bps; FCX had the strongest 10 bps robustness score, GE had the cleanest drawdown, RKLB had the best 15 bps headline test equity","Paper track record too short, sample too small, overnight gap dependency is core to the edge, stale-data operational risk, recent no-trade evidence, and alert burden is still elevated on some presets",yes,no,no
momentum_relative_strength_family,canonical_family,Momentum / Relative-Strength Family,cross_sectional_momentum; relative_strength_vs_benchmark,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,74-symbol liquid stock and ETF universe,Daily,long_only,Fixed holding periods in the tested variants,Long-only rank-based selection inside uptrend_regime; choose names by excess return versus SPY or cross-sectional rank over a lookback window,exact,medium,"Authoritative phase-5 summary highlights relative_strength_vs_benchmark test CAGR 49.03% on one 10-bar row and 123.15% on one 20-bar row; raw final search table contains even larger rows up to ending equity 355356.67 and CAGR 184.13%, but those rows also show extreme drawdowns above 100% and conflict with the report's own benchmark-gate summary and final conclusion","Decision conflict, high drawdowns in raw-table outliers, likely concentration/capacity risk, no final confirmation artifact",yes,partial,partial
rsi_pullback_z_score_pullback_gap_reversion_family,canonical_family,RSI Pullback / Z-Score Pullback / Gap Reversion Family,rsi_pullback; zscore_pullback; gap_reversion; phase-1 mean-reversion baseline family,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv; alpaca-stock-strategy-research/reports/baselines/phase1_mean_reversion/backtest_results.csv,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,Liquid stock and ETF universes across the two stock research repos,Daily,mixed,Fixed hold in the main search framework; optional profit target in some variants,Mean-reversion entries in higher-timeframe uptrends; RSI and z-score variants buy weakness; gap_reversion buys downside gaps inside an uptrend,exact,medium,"In the newer repo, best raw-table RSI pullback row reached ending equity 130886.87 with CAGR 24.83%, Sharpe 0.7582, profit factor 1.2195, and max drawdown 38.99%; best z-score row reached ending equity 129327.49 with CAGR 23.60%, Sharpe 0.9452, profit factor 1.3136, and max drawdown 25.34%; authoritative phase-5 text also cites an RSI pullback example with validation win rate 65.38% but weak test CAGR 5.38%; frozen phase-1 gap_reversion ended 99913.70 with test CAGR -0.07% and failed the benchmark gate","Uneven performance across versions, weaker final evidence than Down Streak Exhaustion, and no deployment packet",yes,partial,no
breakout_trend_continuation_family,canonical_family,Breakout / Trend-Continuation Family,breakout_consolidation; ma_regime_continuation; volatility_contraction_breakout; older breakout baseline,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-strategy-research/data/reports/breakout_stock_audit.md; alpaca-strategy-research/data/reports/research_report.md,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,Liquid stock and ETF universes,Daily,mixed,Fixed holding periods in the search framework,"Breakouts from consolidation, continuation inside bullish MA regime, and post-compression breakout logic",exact,low,"Newer raw search table shows breakout_consolidation ending equity up to 141675.84 with CAGR 33.23%, Sharpe 0.8201, profit factor 1.3654, max drawdown 43.72%, and benchmark_outcome both; volatility_contraction_breakout reached ending equity 139993.07 with CAGR 31.92%, Sharpe 0.8535, profit factor 1.5045, max drawdown 32.72%, and benchmark_outcome both; ma_regime_continuation reached ending equity 131125.44 with CAGR 25.00%, Sharpe 0.7538, and benchmark_outcome both; older corrected breakout baseline ended 98443.60 with CAGR -2.14%","No final confirmation packet, raw-table risk still high, and the older repo is a cautionary counterexample",yes,partial,partial
pullback_in_trend_family,canonical_family,Pullback in Trend Family,pullback_in_trend; intraday pullback_resume mode in the ETF repo is related but not the validated champion,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv; nasdaq-etf-intraday-alpaca/src/app/strategy.py,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,Expanded daily-stock universe in the stock repo; related intraday implementation uses QQQ/TQQQ/SQQQ,Daily in research tables; intraday variant exists in code,mixed,"Fixed hold in daily research; stop, target, trailing, time, regime invalidation, and EOD exits in the intraday implementation","Daily family buys pullbacks inside established uptrends; intraday relative uses pullback depth, resume score, relative volume, and trend alignment",exact,medium,"Raw daily search table shows very high headline rows, including ending equity 197448.06 with CAGR 75.13%, Sharpe 0.9518, profit factor 1.3813, max drawdown 80.69%, and ending equity 310992.48 with CAGR 154.58% but max drawdown 140.42% and negative Sharpe","Extreme drawdowns, no confirmation artifact, and confusion risk with the separate intraday pullback_resume module",yes,partial,partial
turn_of_month_trend_family,canonical_family,Turn of Month Trend Family,turn_of_month_trend,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,Expanded daily-stock universe,Daily,mixed,Fixed holding periods,Long seasonal turn-of-month bias gated by uptrend_regime,exact,low,"Validation occasionally looked attractive, but top inspected rows ended with test equity 95652.47 to 87467.97 and test CAGR -3.59% to -10.43%; all inspected rows failed the benchmark gate","Negative test results, no benchmark support, no deployment case",yes,partial,no
stacked_ensemble_family,canonical_family,Stacked Ensemble Family,pair_any_with_market_filter; RSI pullback plus Down Streak Exhaustion under spy_uptrend,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/decision_table_phase5.csv,C:\Users\rabisaab\Downloads\alpaca-stock-strategy-research,master_memo,Expanded daily-stock universe,Daily,mixed,Fixed-hold stacked composition,Combine component signals and require a SPY uptrend market filter,exact,low,"Best decision-grade row ended at 106637 with CAGR 5.44%, Sharpe 0.3654, profit factor 1.1091, max drawdown 22.07%, and benchmark_outcome neither",Added complexity without clear edge improvement,yes,partial,no
older_corrected_mean_reversion_baseline,canonical_family,Older Corrected Mean Reversion Baseline,corrected mean_reversion in alpaca-strategy-research,best_strategies_consolidated.txt; alpaca-strategy-research/data/reports/research_report.md; alpaca-strategy-research/data/reports/decision_table_corrected.csv,C:\Users\rabisaab\Downloads\alpaca-strategy-research,master_memo,SPY and QQQ stock-only universe,Daily,long_short,Average corrected hold length 3 bars,Mean reversion on z-score and RSI; long on oversold and short on overbought conditions,exact,medium,Ending equity 102029.85; CAGR 2.81%; Sharpe 2.2262; max drawdown 0.39%; expectancy 1.07% per trade; 19 trades,"Too small economically, too little exposure, benchmark failure",yes,partial,no
