strategy_id,family,underlying_trade_count,eligible_trade_count,excluded_trade_count,historical_quote_support,local_option_symbol_coverage,gate_verdict,dominant_blocker,notes
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,2674,0,2674,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,2214,0,2214,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,2053,0,2053,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,1370,0,1370,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,357,0,357,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,465,0,465,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,762,0,762,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,263,0,263,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
dse_exact_user_subset_5y,Down Streak Exhaustion,231,0,231,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,188,0,188,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
turn_of_month_trend_rep_user_subset_5y,Turn of Month Trend Family,474,0,474,no,SPY-only recent pocket,blocked,historical_option_quotes_unavailable_and_local_option_bars_sparse,No honest bid/ask-based spread gate can be applied across the full tournament because verified Alpaca historical option quotes are unavailable and local minute option data is only a recent partial pocket.
qqq_pair_adverse_baseline_short_window,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,385,0,385,no,no QQQ/TQQQ/SQQQ minute options archive on disk for the required timestamps,blocked,historical_option_quotes_unavailable_and_no_local_chain_archive,The intraday pair baseline does not fail on signal quality first; it fails on honest option replay prerequisites.
