agent,approval_level,automation_level,family_include_filters,handoff_to,inputs,lane_type,may_edit_strategy_code,may_launch_backtests,may_materialize_data,may_publish_review_packets,may_update_runner_gate,may_write_live_manifest,notes,outputs,parallelism,plane,preferred_machine_now,preferred_machine_target,prohibited_actions,scripts,selection_profile,split_axis,strategy_set,success_gate,writes_live_state
Inventory Steward,packet_only,autonomous,[],"[""Strategy Family Steward"", ""Data Prep Steward"", ""Bear Directional"", ""Bear Premium"", ""Bear Convexity"", ""Butterfly Lab""]","[""backtester_registry.csv"", ""backtester_ready manifests"", ""strategy_repo snapshots""]",control_plane,False,False,False,True,False,False,Owns universe accounting and under-tested family/ticker ranking.,"[""strategy_repo.json"", ""ticker_family_coverage.md"", ""agent_sharding_plan.json""]",1,control,current_research_machine,either_machine,"[""write_live_manifest"", ""approve_production_changes"", ""edit_strategy_family_definitions""]","[""build_strategy_repo.py"", ""build_ticker_family_coverage.py"", ""build_agent_sharding_plan.py""]",,governance,,Coverage gaps and ready-universe counts are current before any new wave launches.,False
Strategy Family Steward,packet_only,autonomous,[],"[""Strategy Architect"", ""Inventory Steward"", ""Reporting Steward""]","[""strategy repo snapshot"", ""live manifest"", ""ticker-family coverage""]",control_plane,False,False,False,True,False,False,Single owner of family taxonomy and family-priority labels.,"[""strategy_family_registry.json"", ""strategy_family_handoff.json""]",1,control,current_research_machine,either_machine,"[""write_live_manifest"", ""approve_production_changes""]","[""build_strategy_family_registry.py"", ""build_strategy_family_handoff.py""]",,family_taxonomy,,Family priorities are refreshed before major research or review waves.,False
Data Prep Steward,packet_only,autonomous,[],"[""Inventory Steward"", ""Bear Directional"", ""Bear Premium"", ""Bear Convexity"", ""Butterfly Lab""]","[""staged bundle zips"", ""registry-only symbols"", ""coverage prep frontier""]",control_plane,False,False,True,True,False,False,Keeps data prep separate from research execution.,"[""expanded backtester_ready universe"", ""materialization_status.json""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""approve_production_changes"", ""launch_discovery_without_refreshed_coverage""]","[""materialize_backtester_ready.py""]",,data_readiness,,Priority symbols are materialized before discovery consumes them.,False
Strategy Architect,human_gated,human_guided,[],"[""Inventory Steward"", ""Balanced Expansion""]","[""family registry"", ""coverage"", ""postmortem findings""]",control_plane,True,False,False,False,False,False,Single editor of strategy-family definitions.,"[""new family definitions"", ""parameter-surface changes""]",1,research,current_research_machine,current_research_machine,"[""write_live_manifest"", ""auto_promote_new_families""]","[""backtest_qqq_greeks_portfolio.py"", ""run_multiticker_cleanroom_portfolio.py""]",,strategy_surface,,New families are wired into reporting before runners use them.,False
Bear Directional,packet_only,autonomous,"[""single_leg_long_put"", ""debit_put_spread""]","[""Reporting Steward""]","[""ready tickers"", ""coverage-ranked cohort lists""]",discovery,False,True,False,False,False,False,Discovery lane for bearish directional structures only.,"[""per-lane research_dir"", ""per-ticker summaries"", ""run_manifest.json""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""expand_scope_beyond_assigned_family_lane""]","[""launch_down_choppy_family_wave.ps1"", ""run_multiticker_cleanroom_portfolio.py""]",down_choppy_focus,family_cohort,down_choppy_only,No promotions. Survivors must show friction-aware strength.,False
Bear Premium,packet_only,autonomous,"[""credit_call_spread"", ""iron_condor"", ""iron_butterfly""]","[""Reporting Steward""]","[""ready tickers"", ""coverage-ranked cohort lists""]",discovery,False,True,False,False,False,False,Discovery lane for premium-defense structures only.,"[""per-lane research_dir"", ""per-ticker summaries"", ""run_manifest.json""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""expand_scope_beyond_assigned_family_lane""]","[""launch_down_choppy_family_wave.ps1"", ""run_multiticker_cleanroom_portfolio.py""]",down_choppy_focus,family_cohort,down_choppy_only,No promotions. Survivors must show friction-aware strength.,False
Bear Convexity,packet_only,autonomous,"[""put_backspread"", ""long_straddle"", ""long_strangle""]","[""Reporting Steward""]","[""ready tickers"", ""coverage-ranked cohort lists""]",discovery,False,True,False,False,False,False,Discovery lane for convexity and long-vol structures only.,"[""per-lane research_dir"", ""per-ticker summaries"", ""run_manifest.json""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""expand_scope_beyond_assigned_family_lane""]","[""launch_down_choppy_family_wave.ps1"", ""run_multiticker_cleanroom_portfolio.py""]",down_choppy_focus,family_cohort,down_choppy_only,No promotions. Survivors must show friction-aware strength.,False
Butterfly Lab,packet_only,autonomous,"[""put_butterfly"", ""broken_wing_put_butterfly""]","[""Reporting Steward""]","[""ready tickers"", ""coverage-ranked cohort lists""]",discovery,False,True,False,False,False,False,Discovery lane for butterfly structures only.,"[""per-lane research_dir"", ""per-ticker summaries"", ""run_manifest.json""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""expand_scope_beyond_assigned_family_lane""]","[""launch_down_choppy_family_wave.ps1"", ""run_multiticker_cleanroom_portfolio.py""]",down_choppy_focus,family_cohort,down_choppy_only,No promotions. Survivors must show friction-aware strength.,False
Down/Choppy Exhaustive,packet_only,autonomous,[],"[""Shared-Account Validator"", ""Reporting Steward""]","[""Phase 1 shortlist"", ""friction-aware lane summaries""]",deep_dive,False,True,False,False,False,False,Exhaustive validation lane for down/choppy survivors.,"[""deep walkforward summaries"", ""family rankings"", ""run manifests""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""widen_back_to_full_discovery_scope""]","[""build_family_wave_shortlist.py"", ""launch_down_choppy_program.ps1""]",down_choppy_focus,ticker_bundle,down_choppy_exhaustive,Only shortlisted survivors advance into this phase.,False
Balanced Expansion,packet_only,autonomous,[],"[""Shared-Account Validator"", ""Reporting Steward""]","[""Phase 1 shortlist"", ""benchmark symbols"", ""friction-aware lane summaries""]",deep_dive,False,True,False,False,False,False,Deep-dive lane for balanced cross-regime validation.,"[""balanced walkforward summaries"", ""family rankings"", ""run manifests""]",1,research,current_research_machine,either_machine,"[""write_live_manifest"", ""skip_shortlist_or_validation_provenance""]","[""run_core_strategy_expansion_overnight.py"", ""run_multiticker_cleanroom_portfolio.py""]",balanced,ticker_bundle,family_expansion,Cross-regime benchmark names and validated survivors only.,False
