observed_on,category,shortlist_tier,repo,repo_url,primary_language,stars_display,stars_estimated,last_updated_display,discovery_source,user_source,stocks_support,options_support,greeks_support,license_if_observed,use_case,key_points,caveats
2026-04-10,Core Python framework,Top pick,mementum/backtrader,https://github.com/mementum/backtrader,Python,21.1k,21100,"Aug 19, 2024",GitHub topic: backtesting (Python),User topic link,Yes,Unclear,No,,Classic event-driven backtesting engine,Widely used Python backtesting library for trading strategies with a large ecosystem and lots of community examples.,"Topic-page activity marker was Aug 2024, so it looks more mature/stable than cutting-edge."
2026-04-10,Core Python framework,Top pick,kernc/backtesting.py,https://github.com/kernc/backtesting.py,Python,8.2k,8200,"Dec 20, 2025",GitHub topic: backtesting (Python),User topic link,Yes,Unclear,No,,Lightweight stock/general backtester,"Simple, popular Python backtest framework and a strong default starting point for stock-like strategies.",Options are not the main focus; best fit is stock/bar-data style testing.
2026-04-10,Core Python framework,Top pick,polakowo/vectorbt,https://github.com/polakowo/vectorbt,Python,7.1k,7100,"Mar 26, 2026",GitHub topic: backtesting (Python),User topic link,Yes,Unclear,No,,Fast vectorized research/backtesting,"Lightning-fast engine that is especially good for research notebooks, parameter sweeps, and rapid signal iteration.",More research-oriented than beginner tutorial-oriented.
2026-04-10,Core Python framework,Top pick,Lumiwealth/lumibot,https://github.com/Lumiwealth/lumibot,Python,1.3k,1300,"Apr 6, 2026",GitHub topic: backtesting (Python),User topic link,Yes,Yes,Unclear,,Backtesting plus live trading bots,"Explicit support for stocks, options, futures, forex, and live trading workflows makes it one of the more practical all-around picks.",Broader platform scope means more setup than a minimal library.
2026-04-10,Core Python framework,Top pick,quarkfin/qf-lib,https://github.com/quarkfin/qf-lib,Python,910,910,"Apr 8, 2026",GitHub topic: backtesting (Python),User topic link,Yes,No,No,,Advanced event-driven quant library,"Advanced event-driven backtester with data-vendor and broker integrations; supports crypto, stocks, and futures.",Feels more institutional/quant than plug-and-play.
2026-04-10,Core Python framework,Strong niche,myhhub/stock,https://github.com/myhhub/stock,Python,12.2k,12200,"Apr 2, 2026",GitHub topic: backtesting (Python),User topic link,Yes,No,No,,Stock data + indicators + backtesting stack,"High-star stock toolkit covering data acquisition, indicators, stock selection, strategy validation/backtesting, and auto-trading.",A lot of the ecosystem/documentation is Chinese-language.
2026-04-10,Core Python framework,Strong niche,zvtvz/zvt,https://github.com/zvtvz/zvt,Python,4.1k,4100,"Mar 7, 2026",GitHub topic: backtesting (Python),User topic link,Yes,No,No,,Modular quant framework,"Modular quant stack with stock-market, technical-analysis, and algorithmic-trading focus.",Broader quant framework rather than an options-first solution.
2026-04-10,Core Python framework,Strong niche,edtechre/pybroker,https://github.com/edtechre/pybroker,Python,3.3k,3300,"Mar 5, 2026",GitHub topic: backtesting (Python),User topic link,Yes,Unclear,No,,ML-oriented Python backtesting,Algorithmic trading framework in Python with a strong machine-learning angle.,Not an options-first framework.
2026-04-10,Core Python framework,Strong niche,blankly-finance/blankly,https://github.com/blankly-finance/blankly,Python,2.4k,2400,"Dec 30, 2024",GitHub search: stocks backtesting language:Python,Added GitHub search,Yes,No,No,,Backtest and deploy algos,"Multi-asset framework for building, backtesting, and deploying trading algorithms across stocks, crypto, and forex.",Less stock/options-specialized than the narrower picks.
2026-04-10,Core Python framework,Strong niche,santoshlite/EigenLedger,https://github.com/santoshlite/EigenLedger,Python,1.1k,1100,"Sep 14, 2025",GitHub topic: backtesting (Python),User topic link,Yes,No,No,,Portfolio backtesting engine,Open-source portfolio backtesting engine that looks useful for allocation and portfolio-level research.,Not options-centric.
